																
grün1			Rot1			Rot2			Türkis			violett			violettx2	
&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %
2.047	15.3		2.047	18.8		2.047	14.6		2.047	14.2		2.047	15.0		2.047	15.3
2.045	15.3		2.045	18.8		2.045	14.6		2.045	14.2		2.045	15.0		2.045	15.3
2.042	15.3		2.042	18.8		2.042	14.5		2.042	14.2		2.042	15.0		2.042	15.3
2.039	15.3		2.039	18.8		2.039	14.5		2.039	14.2		2.039	15.0		2.039	15.3
2.037	15.3		2.037	18.8		2.037	14.6		2.037	14.2		2.037	15.0		2.037	15.3
2.034	15.3		2.034	18.8		2.034	14.5		2.034	14.2		2.034	15.0		2.034	15.3
2.031	15.3		2.031	18.8		2.031	14.6		2.031	14.2		2.031	15.0		2.031	15.3
2.029	15.3		2.029	18.8		2.029	14.6		2.029	14.2		2.029	15.0		2.029	15.3
2.026	15.3		2.026	18.8		2.026	14.5		2.026	14.2		2.026	15.0		2.026	15.3
2.023	15.3		2.023	18.8		2.023	14.5		2.023	14.2		2.023	15.0		2.023	15.3
2.021	15.3		2.021	18.8		2.021	14.6		2.021	14.2		2.021	15.0		2.021	15.3
2.018	15.3		2.018	18.9		2.018	14.6		2.018	14.2		2.018	15.0		2.018	15.3
2.015	15.3		2.015	18.9		2.015	14.5		2.015	14.2		2.015	15.0		2.015	15.3
2.013	15.3		2.013	18.8		2.013	14.6		2.013	14.2		2.013	15.0		2.013	15.3
2.010	15.3		2.010	18.8		2.010	14.6		2.010	14.2		2.010	15.0		2.010	15.3
